,GName,Time,Remarks,LastRun,LastModifiedFile
0,group10_s1_22,0.0,Pass, 4:16PM Nov 13, 8:54PM Oct 28
1,group11_s1_22,0.0,Pass, 4:18PM Nov 13,11:42PM Oct 27
2,group52_s1_22,0.0,Pass, 4:17PM Nov 13, 3:32PM Oct 27
3,group35_s1_22,0.0,Pass, 4:18PM Nov 13,11:22AM Oct 27
4,group30_s1_22,0.0,Pass, 4:16PM Nov 13, 3:08PM Oct 27
5,group34_s1_22,0.0,Pass, 4:18PM Nov 13, 9:37PM Oct 27
6,group20_s1_22,0.0,Pass, 4:17PM Nov 13,10:51PM Oct 27
7,group37_s1_22,0.0,Pass, 4:18PM Nov 13, 7:22PM Oct 25
8,group26_s1_22,0.0,Pass, 4:18PM Nov 13, 8:30PM Oct 28
9,group18_s1_22,0.0,Pass, 4:17PM Nov 13, 7:58PM Oct 27
10,group53_s1_22,0.0,Pass, 4:18PM Nov 13,10:48AM Oct 26
11,group43_s1_22,0.0,Pass, 4:17PM Nov 13, 7:18PM Oct 28
15,group41_s1_22,0.01,Pass, 4:16PM Nov 13,11:48PM Oct 28
14,group32_s1_22,0.01,Pass, 4:18PM Nov 13,11:54PM Oct 28
12,group40_s1_22,0.01,Pass, 4:18PM Nov 13, 7:45PM Oct 29
13,group25_s1_22,0.01,Pass, 4:16PM Nov 13,11:11PM Oct 27
16,group9_s1_22,0.02,Pass, 4:16PM Nov 13,11:15PM Oct 27
17,group3_s1_22,0.02,Pass, 4:18PM Nov 13, 5:40PM Oct 28
18,group39_s1_22,0.02,Pass, 4:17PM Nov 13, 4:18PM Oct 27
19,group42_s1_22,0.03,Pass, 4:16PM Nov 13, 5:25PM Oct 27
20,group36_s1_22,0.03,Pass, 4:17PM Nov 13,11:09PM Oct 29
21,group7_s1_22,0.04,Pass, 4:16PM Nov 13,11:45PM Oct 27
22,group44_s1_22,0.04,Pass, 4:18PM Nov 13,12:53AM Oct 29
23,group31_s1_22,0.04,Pass, 4:17PM Nov 13,10:58PM Oct 28
24,group8_s1_22,0.04,Pass, 4:17PM Nov 13, 6:55PM Oct 28
25,group48_s1_22,0.04,Pass, 4:17PM Nov 13, 5:01PM Oct 27
26,group24_s1_22,0.05,Pass, 4:17PM Nov 13, 9:50PM Oct 28
27,group54_s1_22,0.09000000000000001,Pass, 4:18PM Nov 13,10:31AM Oct 28
28,group16_s1_22,0.13999999999999999,Pass, 4:16PM Nov 13,10:10AM Oct 28
30,group17_s1_22,0.15,Pass, 4:16PM Nov 13, 6:54PM Oct 28
29,group2_s1_22,0.15,Pass, 4:17PM Nov 13,10:40PM Oct 26
58,group5_s1_22,0.15,Pass, 4:18PM Nov 13,11:02PM Oct 27
31,group51_s1_22,0.15000000000000002,Pass, 4:18PM Nov 13, 3:32PM Oct 28
32,group15_s1_22,0.16,Pass, 4:16PM Nov 13, 7:13PM Oct 28
33,group13_s1_22,0.19,Pass, 4:18PM Nov 13,10:47PM Oct 27
34,group49_s1_22,0.2,Pass, 4:18PM Nov 13, 4:45PM Oct 29
35,group45_s1_22,0.2,Pass, 4:16PM Nov 13, 2:32PM Oct 27
36,group47_s1_22,0.22999999999999998,Pass, 4:18PM Nov 13,11:45PM Oct 28
37,group33_s1_22,0.29000000000000004,Pass, 4:18PM Nov 13, 1:56AM Oct 29
38,group50_s1_22,0.33,Pass, 4:17PM Nov 13,11:16PM Oct 28
39,group19_s1_22,0.36,Pass, 4:16PM Nov 13, 9:23AM Oct 27
40,group28_s1_22,0.37,Pass, 4:16PM Nov 13, 5:51PM Oct 28
41,group27_s1_22,0.38,Pass, 4:18PM Nov 13, 2:29PM Oct 28
42,group57_s1_22,0.38,Pass, 4:16PM Nov 13, 2:49PM Oct 28
43,group12_s1_22,0.39999999999999997,Pass, 4:18PM Nov 13,11:34PM Oct 27
44,group21_s1_22,0.64,Pass, 4:16PM Nov 13, 9:52PM Oct 28
45,group22_s1_22,0.87,Pass, 4:16PM Nov 13, 8:00PM Oct 29
46,group4_s1_22,1.27,Pass, 4:16PM Nov 13,12:16AM Oct 28
47,group38_s1_22,1.56,Pass, 4:16PM Nov 13,10:23PM Oct 28
48,group6_s1_22,5000.0,Process timeout, 4:17PM Nov 13, 6:53AM Oct 27
49,group55_s1_22,5000.0,Process timeout, 4:16PM Nov 13,11:53PM Oct 29
50,group23_s1_22,5000.0,Process timeout, 4:17PM Nov 13, 2:58PM Oct 28
51,group58_s1_22,9999999.0,Compile Error or Wrong File Name or File Not Found, 4:18PM Nov 13,
52,group1_s1_22,9999999.0,Compile Error or Wrong File Name or File Not Found, 4:18PM Nov 13,
53,group29_s1_22,9999999.0,Compile Error or Wrong File Name or File Not Found, 4:18PM Nov 13,
54,group46_s1_22,9999999.0,Compile Error or Wrong File Name or File Not Found, 4:17PM Nov 13,
55,group56_s1_22,9999999.0,Compile Error or Wrong File Name or File Not Found, 4:16PM Nov 13,
56,group59_s1_22,8.888888888888889e+20,Wrong Answer, 4:16PM Nov 13,11:25AM Oct 18
57,group14_s1_22,8.888888888888889e+20,Wrong Answer, 4:16PM Nov 13,11:20PM Oct 27
